,time_min,cgm,insulin_U,meal_g
1870,1870.0,146.579,0.0203965,25.0
1871,1871.0,146.154,0.0203965,0.0
1872,1872.0,145.696,0.0203965,0.0
1873,1873.0,145.205,0.0203965,0.0
1874,1874.0,144.681,0.0203965,0.0
1875,1875.0,144.124,0.0203965,0.0
1876,1876.0,143.617,0.0203965,0.0
1877,1877.0,143.162,0.0203965,0.0
1878,1878.0,142.761,0.0203965,0.0
1879,1879.0,142.419,0.0203965,0.0
1880,1880.0,142.143,0.0203965,0.0
1881,1881.0,141.94,0.0203965,0.0
1882,1882.0,141.816,0.0203965,0.0
1883,1883.0,141.778,0.0203965,0.0
1884,1884.0,141.833,0.0203965,0.0
1885,1885.0,141.984,0.0203965,0.0
1886,1886.0,142.236,0.0203965,0.0
1887,1887.0,142.592,0.0203965,0.0
1888,1888.0,143.055,0.0203965,0.0
1889,1889.0,143.627,0.0203965,0.0
1890,1890.0,144.307,0.0203965,0.0
1891,1891.0,145.055,0.0203965,0.0
1892,1892.0,145.871,0.0203965,0.0
1893,1893.0,146.753,0.0203965,0.0
1894,1894.0,147.699,0.0203965,0.0
1895,1895.0,148.707,0.0203965,0.0
1896,1896.0,149.773,0.0203965,0.0
1897,1897.0,150.895,0.0203965,0.0
1898,1898.0,152.069,0.0203965,0.0
1899,1899.0,153.29,0.0203965,0.0
1900,1900.0,154.555,0.0203965,0.0
1901,1901.0,155.858,0.0203965,0.0
1902,1902.0,157.196,0.0203965,0.0
1903,1903.0,158.562,0.0203965,0.0
1904,1904.0,159.952,0.0203965,0.0
1905,1905.0,161.362,0.0203965,0.0
1906,1906.0,162.767,0.0203965,0.0
1907,1907.0,164.163,0.0203965,0.0
1908,1908.0,165.547,0.0203965,0.0
1909,1909.0,166.913,0.0203965,0.0
1910,1910.0,168.259,0.0203965,0.0
1911,1911.0,169.58,0.0203965,0.0
1912,1912.0,170.875,0.0203965,0.0
1913,1913.0,172.14,0.0203965,0.0
1914,1914.0,173.373,0.0203965,0.0
1915,1915.0,174.573,0.0203965,0.0
1916,1916.0,175.739,0.0203965,0.0
1917,1917.0,176.869,0.0203965,0.0
1918,1918.0,177.963,0.0203965,0.0
1919,1919.0,179.02,0.0203965,0.0
1920,1920.0,180.041,0.0203965,0.0
1921,1921.0,180.988,0.0203965,0.0
1922,1922.0,181.86,0.0203965,0.0
1923,1922.9999999999998,182.66,0.0203965,0.0
1924,1924.0000000000002,183.386,0.0203965,0.0
1925,1925.0000000000002,184.04,0.0203965,0.0
1926,1926.0,184.622,0.0203965,0.0
1927,1927.0,185.134,0.0203965,0.0
1928,1928.0,185.576,0.0203965,0.0
1929,1929.0,185.948,0.0203965,0.0
1930,1929.9999999999998,186.253,0.0203965,0.0
1931,1930.9999999999998,186.49,0.0203965,0.0
1932,1932.0000000000002,186.66,0.0203965,0.0
1933,1933.0,186.765,0.0203965,0.0
1934,1934.0,186.806,0.0203965,0.0
1935,1935.0,186.782,0.0203965,0.0
1936,1936.0,186.776,0.0203965,0.0
1937,1937.0,186.789,0.0203965,0.0
1938,1937.9999999999998,186.822,0.0203965,0.0
1939,1939.0000000000002,186.875,0.0203965,0.0
1940,1940.0000000000002,186.948,0.0203965,0.0
1941,1941.0,187.044,0.0203965,0.0
1942,1942.0,187.161,0.0203965,0.0
1943,1943.0,187.301,0.0203965,0.0
1944,1944.0,187.464,0.0203965,0.0
1945,1944.9999999999998,187.651,0.0203965,0.0
1946,1945.9999999999998,187.862,0.0203965,0.0
1947,1947.0000000000002,188.097,0.0203965,0.0
1948,1948.0,188.357,0.0203965,0.0
1949,1949.0,188.642,0.0203965,0.0
1950,1950.0,188.953,0.0203965,0.0
1951,1951.0,189.228,0.0203965,0.0
1952,1952.0,189.466,0.0203965,0.0
1953,1952.9999999999998,189.669,0.0203965,0.0
1954,1954.0000000000002,189.836,0.0203965,0.0
1955,1955.0000000000002,189.968,0.0203965,0.0
1956,1956.0,190.065,0.0203965,0.0
1957,1957.0,190.127,0.0203965,0.0
1958,1958.0,190.155,0.0203965,0.0
1959,1959.0,190.148,0.0203965,0.0
1960,1959.9999999999998,190.106,0.0203965,0.0
1961,1960.9999999999998,190.03,0.0203965,0.0
1962,1962.0000000000002,189.92,0.0203965,0.0
1963,1963.0,189.777,0.0203965,0.0
1964,1964.0,189.599,0.0203965,0.0
1965,1965.0,189.387,0.0203965,0.0
1966,1966.0,189.148,0.0203965,0.0
1967,1967.0,188.881,0.0203965,0.0
1968,1967.9999999999998,188.587,0.0203965,0.0
1969,1969.0000000000002,188.266,0.0203965,0.0
1970,1970.0000000000002,187.917,0.0203965,0.0
1971,1971.0,187.541,0.0203965,0.0
1972,1972.0,187.138,0.0203965,0.0
1973,1973.0,186.708,0.0203965,0.0
1974,1974.0,186.25,0.0203965,0.0
1975,1974.9999999999998,185.766,0.0203965,0.0
1976,1975.9999999999998,185.255,0.0203965,0.0
1977,1977.0000000000002,184.717,0.0203965,0.0
1978,1978.0,184.152,0.0203965,0.0
1979,1979.0,183.56,0.0203965,0.0
1980,1980.0,182.941,0.0203965,0.0
1981,1981.0,182.398,0.0203965,0.0
1982,1982.0,181.929,0.0203965,0.0
1983,1982.9999999999998,181.536,0.0203965,0.0
1984,1984.0000000000002,181.218,0.0203965,0.0
1985,1985.0000000000002,180.974,0.0203965,0.0
1986,1986.0,180.806,0.0203965,0.0
1987,1987.0,180.714,0.0203965,0.0
1988,1988.0,180.696,0.0203965,0.0
1989,1989.0,180.754,0.0203965,0.0
1990,1989.9999999999998,180.887,0.0203965,0.0
1991,1990.9999999999998,181.096,0.0203965,0.0
1992,1992.0000000000002,181.38,0.0203965,0.0
1993,1993.0,181.74,0.0203965,0.0
1994,1994.0,182.175,0.0203965,0.0
1995,1995.0,182.686,0.0203965,0.0
1996,1996.0,183.168,0.0203965,0.0
1997,1997.0,183.623,0.0203965,0.0
1998,1997.9999999999998,184.049,0.0203965,0.0
1999,1999.0000000000002,184.447,0.0203965,0.0
2000,2000.0000000000002,184.817,0.0203965,0.0
2001,2001.0,185.16,0.0203965,0.0
2002,2002.0,185.474,0.0203965,13.0
2003,2003.0,185.761,0.0203965,0.0
2004,2004.0,186.019,0.0203965,0.0
2005,2004.9999999999998,186.25,0.0203965,0.0
2006,2005.9999999999998,186.454,0.0203965,0.0
2007,2007.0000000000002,186.63,0.0203965,0.0
2008,2008.0,186.78,0.0203965,0.0
2009,2009.0,186.913,0.0203965,0.0
2010,2010.0,187.048,0.0203965,0.0
2011,2011.0,187.21,0.0203965,0.0
2012,2012.0,187.41,0.0203965,0.0
2013,2012.9999999999998,187.654,0.0203965,0.0
2014,2014.0000000000002,187.945,0.0203965,0.0
2015,2015.0000000000002,188.285,0.0203965,0.0
2016,2016.0,188.672,0.0203965,0.0
2017,2017.0,189.104,0.0203965,0.0
2018,2018.0,189.578,0.0203965,0.0
2019,2019.0,190.09,0.0203965,0.0
2020,2019.9999999999998,190.635,0.0203965,0.0
2021,2020.9999999999998,191.207,0.0203965,0.0
2022,2022.0000000000002,191.801,0.0203965,0.0
2023,2023.0,192.409,0.0203965,0.0
2024,2024.0,193.027,0.0203965,0.0
2025,2025.0,193.646,0.0203965,0.0
2026,2026.0,194.339,0.0203965,0.0
2027,2027.0,195.097,0.0203965,0.0
2028,2027.9999999999998,195.916,0.0203965,0.0
2029,2029.0000000000002,196.791,0.0203965,0.0
2030,2030.0000000000002,197.717,0.0203965,0.0
2031,2031.0,198.69,0.0203965,0.0
2032,2032.0,199.708,0.0203965,0.0
2033,2033.0,200.767,0.0203965,0.0
2034,2034.0,201.865,0.0203965,0.0
2035,2034.9999999999998,203.001,0.0203965,0.0
2036,2035.9999999999998,204.173,0.0203965,0.0
2037,2037.0000000000002,205.38,0.0203965,0.0
2038,2038.0,206.623,0.0203965,0.0
2039,2039.0,207.901,0.0203965,0.0
2040,2040.0,209.214,0.0203965,0.0
2041,2041.0,210.379,0.0203965,0.0
2042,2042.0,211.395,0.0203965,0.0
2043,2042.9999999999998,212.264,0.0203965,0.0
2044,2044.0000000000002,212.987,0.0203965,0.0
2045,2045.0000000000002,213.564,0.0203965,0.0
2046,2046.0,213.996,0.0203965,0.0
2047,2047.0,214.285,0.0203965,0.0
2048,2048.0,214.431,0.0203965,0.0
2049,2049.0,214.436,0.0203965,0.0
2050,2050.0,214.3,0.0203965,0.0
2051,2051.0,214.025,0.0203965,0.0
2052,2052.0,213.612,0.0203965,0.0
2053,2053.0,213.061,0.0203965,0.0
2054,2054.0,212.374,0.0203965,0.0
2055,2055.0,211.551,0.0203965,0.0
2056,2056.0,210.796,0.0203965,0.0
2057,2057.0,210.111,0.0203965,0.0
2058,2058.0,209.496,0.0203965,0.0
2059,2059.0,208.951,0.0203965,0.0
2060,2060.0,208.478,0.0203965,0.0
2061,2061.0,208.076,0.0203965,0.0
2062,2062.0,207.748,0.0203965,0.0
2063,2063.0,207.492,0.0203965,0.0
2064,2064.0,207.309,0.0203965,0.0
2065,2065.0,207.2,0.0203965,0.0
2066,2066.0,207.166,0.0203965,0.0
2067,2067.0,207.206,0.0203965,0.0
2068,2068.0,207.321,0.0203965,0.0
2069,2069.0,207.511,0.0203965,0.0
2070,2070.0,207.777,0.0203965,0.0
2071,2071.0,208.021,0.0203965,0.0
2072,2072.0,208.243,0.0203965,0.0
2073,2073.0,208.443,0.0203965,0.0
2074,2074.0,208.622,0.0203965,0.0
2075,2075.0,208.78,0.0203965,0.0
2076,2076.0,208.916,0.0203965,0.0
2077,2077.0,209.032,0.0203965,0.0
2078,2078.0,209.126,0.0203965,0.0
2079,2079.0,209.2,0.0203965,0.0
2080,2080.0,209.253,0.0203965,0.0
2081,2081.0,209.286,0.0203965,0.0
2082,2082.0,209.299,0.0203965,0.0
2083,2083.0,209.291,0.0203965,0.0
2084,2084.0,209.262,0.0203965,0.0
2085,2085.0,209.214,0.0203965,0.0
2086,2086.0,209.16,0.0203965,0.0
2087,2087.0,209.101,0.0203965,0.0
2088,2088.0,209.037,0.0203965,0.0
2089,2089.0,208.967,0.0203965,0.0
2090,2090.0,208.892,0.0203965,0.0
2091,2091.0,208.812,0.0203965,0.0
2092,2092.0,208.727,0.0203965,0.0
2093,2093.0,208.637,0.0203965,0.0
2094,2094.0,208.543,0.0203965,0.0
2095,2095.0,208.443,0.0203965,0.0
2096,2096.0,208.338,0.0203965,0.0
2097,2097.0,208.229,0.0203965,0.0
2098,2098.0,208.115,0.0203965,0.0
2099,2099.0,207.997,0.0203965,0.0
2100,2100.0,207.873,0.0203965,0.0
2101,2101.0,207.789,0.0203965,0.0
2102,2102.0,207.745,0.0203965,0.0
2103,2103.0,207.739,0.0203965,0.0
2104,2104.0,207.773,0.0203965,0.0
2105,2105.0,207.847,0.0203965,0.0
2106,2106.0,207.96,0.0203965,0.0
2107,2107.0,208.113,0.0203965,0.0
2108,2108.0,208.306,0.0203965,0.0
2109,2109.0,208.539,0.0203965,0.0
2110,2110.0,208.811,0.0203965,0.0
2111,2111.0,209.124,0.0203965,0.0
2112,2112.0,209.477,0.0203965,0.0
2113,2113.0,209.871,0.0203965,0.0
2114,2114.0,210.305,0.0203965,0.0
2115,2115.0,210.78,0.0203965,0.0
2116,2116.0,211.204,0.0203965,0.0
2117,2117.0,211.577,0.0203965,0.0
2118,2118.0,211.901,0.0203965,0.0
2119,2119.0,212.174,0.0203965,0.0
2120,2120.0,212.398,0.0203965,0.0
2121,2121.0,212.572,0.0203965,0.0
2122,2122.0,212.697,0.0203965,0.0
2123,2123.0,212.772,0.0203965,0.0
2124,2124.0,212.799,0.0203965,0.0
2125,2125.0,212.778,0.0203965,0.0
2126,2126.0,212.708,0.0203965,0.0
2127,2127.0,212.591,0.0203965,0.0
2128,2128.0,212.426,0.0203965,0.0
2129,2129.0,212.215,0.0203965,0.0
2130,2130.0,211.957,0.0203965,0.0
2131,2131.0,211.709,0.0203965,0.0
2132,2132.0,211.473,0.0203965,0.0
2133,2133.0,211.248,0.0203965,0.0
2134,2134.0,211.035,0.0203965,0.0
2135,2135.0,210.835,0.0203965,0.0
2136,2136.0,210.647,0.0203965,0.0
2137,2137.0,210.471,0.0203965,0.0
2138,2138.0,210.309,0.0203965,0.0
2139,2139.0,210.159,0.0203965,0.0
2140,2140.0,210.022,0.0203965,0.0
2141,2141.0,209.897,0.0203965,0.0
2142,2142.0,209.784,0.0203965,0.0
2143,2143.0,209.682,0.0203965,0.0
2144,2144.0,209.592,0.0203965,0.0
2145,2145.0,209.511,0.0203965,0.0
2146,2146.0,209.445,0.0203965,0.0
2147,2147.0,209.392,0.0203965,0.0
2148,2148.0,209.351,0.0203965,0.0
2149,2149.0,209.322,0.0203965,0.0
2150,2150.0,209.303,0.0203965,0.0
2151,2151.0,209.295,0.0203965,0.0
2152,2152.0,209.296,0.0203965,0.0
2153,2153.0,209.306,0.0203965,0.0
2154,2154.0,209.324,0.0203965,0.0
2155,2155.0,209.349,0.0203965,0.0
2156,2156.0,209.382,0.0203965,0.0
2157,2157.0,209.421,0.0203965,0.0
2158,2158.0,209.466,0.0203965,0.0
2159,2159.0,209.518,0.0203965,0.0
2160,2160.0,209.575,0.0203965,0.0
2161,2161.0,209.654,0.0203965,0.0
2162,2162.0,209.754,0.0203965,0.0
2163,2163.0,209.875,0.0203965,0.0
2164,2164.0,210.017,0.0203965,0.0
2165,2165.0,210.181,0.0203965,0.0
2166,2166.0,210.365,0.0203965,0.0
2167,2167.0,210.571,0.0203965,0.0
2168,2168.0,210.798,0.0203965,0.0
2169,2169.0,211.047,0.0203965,0.0
2170,2170.0,211.318,0.0203965,0.0
2171,2171.0,211.611,0.0203965,0.0
2172,2172.0,211.926,0.0203965,0.0
2173,2173.0,212.264,0.0203965,0.0
2174,2174.0,212.624,0.0203965,0.0
2175,2175.0,213.007,0.0203965,0.0
2176,2176.0,213.335,0.0203965,0.0
2177,2177.0,213.607,0.0203965,0.0
2178,2178.0,213.823,0.0203965,0.0
2179,2179.0,213.984,0.0203965,0.0
2180,2180.0,214.091,0.0203965,0.0
2181,2181.0,214.143,0.0203965,0.0
2182,2182.0,214.141,0.0203965,0.0
2183,2183.0,214.084,0.0203965,0.0
2184,2184.0,213.974,0.0203965,0.0
2185,2185.0,213.81,0.0203965,0.0
2186,2186.0,213.592,0.0203965,0.0
2187,2187.0,213.322,0.0203965,0.0
2188,2188.0,212.998,0.0203965,0.0
2189,2189.0,212.622,0.0203965,0.0
2190,2190.0,212.193,0.0203965,0.0
2191,2191.0,211.719,0.0203965,0.0
2192,2192.0,211.202,0.0203965,0.0
2193,2193.0,210.641,0.0203965,0.0
2194,2194.0,210.036,0.0203965,0.0
2195,2195.0,209.387,0.0203965,0.0
2196,2196.0,208.695,0.0203965,0.0
